# Cs   Pb   I   N   C   H
1.198122627906925419e-01 1.267334742197616659e-01 1.327688571927426453e-01 2.195471797765303767e-01 1.911602235811854511e-01 2.099780024390872357e-01
1.564881264209574407e-01 1.405211009830490132e-01 1.574014960142811892e-01 2.000483367761735631e-01 1.664177052997780071e-01 1.791232345057607867e-01
1.549816234258042380e-01 1.415331901781796409e-01 1.573346639994114560e-01 2.014813942818300674e-01 1.654165824783601912e-01 1.792525456364143788e-01
1.591249770382637818e-01 1.389341750165206668e-01 1.538065200535984889e-01 2.002913337800371341e-01 1.664701697767624611e-01 1.813728243348174396e-01
1.550361383957202799e-01 1.314502776328777267e-01 1.497998572075340262e-01 2.038902464518435043e-01 1.726775746935892142e-01 1.871459056184351100e-01
1.572937255967620240e-01 1.318145743553088833e-01 1.514806463479548559e-01 2.031818446891482943e-01 1.707987590042404635e-01 1.854304500065854233e-01
1.557204819315615996e-01 1.278202624461179382e-01 1.492118186970461946e-01 2.047859180128172307e-01 1.738434077119261068e-01 1.886181112005308469e-01
1.529135625488683980e-01 1.264676739648207537e-01 1.491717616991624362e-01 2.062044930678289256e-01 1.754514385971117363e-01 1.897910701222078056e-01
1.577591604238860468e-01 1.266813395077454329e-01 1.491600581801649783e-01 2.045963657657244306e-01 1.733610924903427053e-01 1.884419836321363229e-01
1.594558319562641990e-01 1.266537732706116692e-01 1.507771076890322970e-01 2.051661553301904473e-01 1.711255443047685065e-01 1.868215874491329642e-01
1.547836121529182762e-01 1.243334904616166525e-01 1.510638642219621353e-01 2.112998976083276803e-01 1.704116445865410390e-01 1.881074909686342167e-01
1.516475411584393973e-01 1.201885397273563943e-01 1.485776927496669786e-01 2.138123539561639641e-01 1.735311875651940061e-01 1.922426848431793567e-01
1.512609269816252711e-01 1.153053986385496194e-01 1.454142643877563423e-01 2.123011914530844035e-01 1.790941722906329581e-01 1.966240462483513640e-01
1.609192813613823936e-01 1.170293195890455551e-01 1.486053306589508460e-01 2.071818591165236201e-01 1.745583595716529712e-01 1.917058497024445307e-01
1.781043328835027195e-01 1.126145354167882445e-01 1.493517353749491683e-01 2.029547098377295911e-01 1.693729621781568939e-01 1.876017243088733133e-01
1.844329402911475957e-01 1.106847161208704133e-01 1.507228829430381500e-01 2.034025212706111752e-01 1.653517346633146257e-01 1.854052047110179846e-01
1.939830988526180244e-01 1.137658511105183734e-01 1.540314292018239162e-01 2.007396862468900367e-01 1.588918649459193089e-01 1.785880696422302294e-01
2.081530063716978685e-01 1.156305020632624608e-01 1.563084008243475487e-01 1.923714708606656942e-01 1.544652127791687757e-01 1.730714071008576382e-01
2.247573585742937696e-01 1.100790254357110753e-01 1.553556196553716184e-01 1.836374644088227259e-01 1.542884704498826420e-01 1.718820614759181964e-01
2.264144957994356500e-01 1.088225874319856956e-01 1.556225152304619441e-01 1.876707176254265030e-01 1.510950246516875040e-01 1.703746592610026755e-01
2.326271817190448121e-01 1.070204741785149155e-01 1.565698669246213814e-01 1.870814077723914060e-01 1.487132539657852470e-01 1.679878154396422518e-01
2.363836145770001340e-01 1.061885330588647758e-01 1.564820506816390344e-01 1.830114807828514267e-01 1.499128685885330603e-01 1.680214523111116520e-01
2.262913612090844961e-01 1.062656517232920816e-01 1.528431806136025251e-01 1.845220778656262162e-01 1.560065036673661254e-01 1.740712249210284168e-01
